Topic,Raw Tweet,Annotated Label
Hindu Lives Matter Campaign,"Is this how Muslims want to takeover the world?? Either they want to kill mankind that’s non-Muslim by carrying out terrorist attacks or they want to do something as heinous as forced sterilization behind closed doors.@TrueIndologyliv
 #HinduLivesMatter
 #hindustargettedhttps://twitter.com/ShefVaidya/status/1133019977932369920 …",H
Hindu Lives Matter Campaign,"Don't start preaching....
 Have you condemned this
 
 A poor boy selling lassi was beaten to death. He just asked to be paid.
 No outrage because dead kid is HINDU & the men who LYNCHED him are MUSLIMS
 This is how they broke their roza, by killing a kid. #HinduLivesMatter https://twitter.com/GautamGambhir/status/1132845009588424704 …",H
Hindu Lives Matter Campaign,@ShekharGupta @tavleen_singh A man has been lynched in Mathura by a mob. Won’t you outrage over it? Or did he belonged to a wrong religion? @BDUTT #HinduLivesMatter,P
Hindu Lives Matter Campaign,Then we would trend #HinduLivesMatter which sounds as bizarre as White lives matter :)),N
Hindu Lives Matter Campaign,"So wt is @myogiadityanath doing. #hindus voted @BJP4India to power, is this how you protect #hindus by making #muslims kill #hindus with police protection? @narendramodi @AmitShah @SriSri @SadhguruJV @Swamy39 @yogrishiramdev @UN @UNinIndia #HinduLivesMatter #HinduPersecutionhttps://twitter.com/RituRathaur/status/1132873938315255808 …",P
Hindu Lives Matter Campaign,And Jain food so we don't upset my devout Hindu friends. #HinduLivesMatter @deepquest @macthai,N
Hindu Lives Matter Campaign,"Keep Taking the baits thrown by leftists & MSM
 Never shift focus from ending up as illiterate trolls #HinduLivesMatter",O
Hindu Lives Matter Campaign,POK belongs to Kashmir and Kashmir belongs to Bharat..time has come to destroy Pak..#IndiaForBalochistan #PMModiexposesPak #HindulivesMatter,H
Hindu Lives Matter Campaign,"India's Attack, Shame!! Those who want to eat beef should go to Pakistan! We don't allow you muslim bustards here in india.#HinduLivesMatter",O
Hindu Lives Matter Campaign,"A poor boy selling lassi was beaten to death. He just asked to be paid. No outrage because dead kid is HINDU & the men who LYNCHED him are MUSLIMS This is how they broke their roza, by killing a kid. #HinduLivesMatter too. 
 
 https://www.amarujala.com/amp/uttar-pradesh/agra/crime/people-protest-over-shopkeeper-killed-by-beating-in-mathura?__twitter_impression=true …
 http://www.aetajeevan.org/2019/05/blog-post_27.html?m=1 …",H
Hindu Lives Matter Campaign,"60+yrs @INCIndia sold #India to non-Indan nehrugandhi-maino #dynasty @OfficeOfRG &didnot give basic amenities to #Indians
 #HinduLivesMatter",N
Northeast Delhi Riots 2020,"Karkarduma Court rejected the bail plea of former municipal councillor from the Congress Ishrat Jahan, who was arrested in connection with violence in northeast Delhi will opposing CAA.
 
 AAP & Congress burnt delhi & did riots against Hindus.
 
 #DelhiAgainstJehadiViolence",O
Northeast Delhi Riots 2020,"While bodies of riot victims were being fished out from drains of northeast Delhi, Amulya Patnaik was busy in effecting transfer and posting of his favourite officers. https://www.outlookindia.com/newsscroll/stage-set-for-untouchable-amulya-patnaiks-grand-farewell/1746405 … good story @ians_india @PMOIndia @narendramodi @AmitShah @HMOIndia @darpans",N
Northeast Delhi Riots 2020,"#CAA & #ShaheenBagh was a medium to incite, instigate, genocide against the Hindus
 #NorthEastDelhiRiots",P
Northeast Delhi Riots 2020,"Just see the Mobilisation in the #Muslim areas of Northeast Delhi. It's a planned riot not happened yesterday. These streets must be secured, call in the Army if need be but don't allow these rioters to get away with murder @DelhiPolice #Maujpur #DelhiRiots https://twitter.com/MODIfiedVikas/status/1232192509322780678 …",P
Northeast Delhi Riots 2020,"Delhi""s riots, I think, are nott Hindu versus Muslims. Had it been so it may have spread all over Delhi at least. Being confined to northeast Delhi they need to be viewed differently. What we see is mainly a few hundred Hindu youth, aided by police, attacking Muslims.",P
Northeast Delhi Riots 2020,"5 of the 8 seats BJP won in the Delhi elections fall in northeast Delhi where RIOTING took place
 
 RSS BJP is a RIOT Wing organization party.
 
 https://www.telegraphindia.com/india/delhi-violence-a-curious-pattern-emerges/cid/1749010 …
 #DelhiRiots2020
 #Arrest_Terrorist_Kapil_Mishra
 #BJPBurningIndia
 #BJPBurningDelhi
 #BJPSeDeshBachaoo
 #BanRSS",O
Northeast Delhi Riots 2020,"दिल्ली में जाफराबाद इलाके पर तनाव या फिर अफवाह देखिए ग्राउंड ज़ीरो से जनता की राय ।
 https://youtu.be/hWlBP4ExZKQ #DelhiRiots #delhivoilence #DelhiBurns #DelhiRiot2020 #DelhiPolice #DelhiCAAClashes #jafrabad #jantakirai #cwnews #crimeweek #crimeweeknews",N
Northeast Delhi Riots 2020,"Liberals ke liye Ri0ts sirf #ShivVihar me hi huye hain aur #Bhajanpura, #maujpur #Jafrabad #Gokulpuri wagera me toh Majak Chal raha tha
 
 #delhivoilence
 #DelhiRiot2020
 #HindusUniteForDharma",N
Northeast Delhi Riots 2020,"@Wikipedia Bhai Tum Ne Kitne Me Deal Ki?? #northeastdelhiriots
 The violence was a duel , both sides played and suffered but choosing sides is unfair.
 Ye Bik Gayi Hai @Wikipedia , ab is #Wikipedia mein kucch nahi hai",N
Northeast Delhi Riots 2020,"Horrifying account of fellow photographers on what happened in northeast Delhi’s hospitals after the riots. @mahavir09 @vinitguptaphoto @mdmeharban03 https://caravanmagazine.in/conflict/in-photos-death-despair-delhi-northeast-hospitals-violence … via @thecaravanindi
 
 #Delhigenocide #CAA_NRC_Protests #DelhiRiots #DelhiViolance",N
Northeast Delhi Riots 2020,गुस्ताख़ी माफ़! ये भारत की मुख़्यधारा की मीडिया का पार्ट-टाईम काम है। #DelhiViolence #MondayMorning #Delhi #GoliWaleBJPGunde #Goodachari #Jafrabad #MondayMorning #KanhaiyaKumar #इस्तीफा_दो_AmitShah #mondaythoughtspic.twitter.com/PORUnz7xYB,O
Northeast Delhi Riots 2020,There is nothing provocative written by @TajinderBagga which @TimesNow is showing as offender. He is exposing speech of @UmarKhalidJNU who raised Slogan against INDIA. Media will not Expose Tukde Tukde gang for their well Planned Protest at #Jafrabad before Trump visit https://twitter.com/TajinderBagga/status/1234347694920830979 …,N
Northeast Delhi Riots 2020,"चिराग बुझ गये हैं जिस शहर के घरों में,
 
 सुना है बिजली ओर पानी फ्री है उस शहर में।
 
 #Jafrabad #DelhiRiots",N
Northeast Delhi Riots 2020,"#ShaheenBagh की #शाहीन भीड़ ने #Jafrabad और #Chandbagh में दंगे भड़काए।
 
 #DelhiViolence
 #Delhigenocidehttps://twitter.com/TimesNow/status/1233676135495426048 …",P
Northeast Delhi Riots 2020,"My Heart bleeds seeing the murder of head constable Ratan lal who lost his life today by Musl protestors. 
 
 He has 2 Daughters and 1 Son. 
 
 #Jafrabad #Maujpur #DelhiBurningpic.twitter.com/K2jiN4wnXR",N
Northeast Delhi Riots 2020,Delhi Walas will take its Delhi Back from #Jihadists. Only way out now just disperse from #ShaheenBagh #Jafrabad and all other occupied places. #DelhiPolice please give up your long admirable patience. We are with you! #DelhiBurninghttps://twitter.com/sakshijoshii/status/1232027512798089216 …,O
Northeast Delhi Riots 2020,"Protesting against CAA was never a fight between Hindu and Muslims.
 It is a fight for the identity of Muslims and protecting muslims from becoming stateless in their own country.
 #Jafrabad #Maujpur #GoBackTrump #DelhiBurning #DelhiPolice #delhiriots #delhiviolencepic.twitter.com/KtdmAiEs9u",N
Northeast Delhi Riots 2020,"किस बात की आजादी 
 कैसी आजादी। मुफ्त में जीने वालों सूनलो आजादी देंगे पर देश से निकालकर चले जाओ । 
 #दिल्ली_लंदन_से_बना_सिरिया
 #DelhiPolice #DelhiBurning #DelhiBurning #Jafrabad #हिंदुस्तान_जिंदाबाद",P
Northeast Delhi Riots 2020,"U the real face of terror and culprits of #Delhigenocide take lessons from the brave woman sitting for democracy and truth..u can only spread hate.. #GodiMedia #IslamoPhobicIndianMedia #ArrestKapilMishra #Arrestterroristkapilmishra #AmitShahResign
 #RSS_Is_Terrorist_Organizationpic.twitter.com/R25Xs6AUbF",O
Northeast Delhi Riots 2020,"Double or multiple panic now in minds of majority of #India 4m sarphire #jihadi goons who r attacking n killing even police no less said better about real peace loving #Hindus plus intellectual terrorists like u also on mission.. HORRIFIC
 
 #DelhiPolice
 #Jafrabad
 #TrumpVisitIndia",O
